Variable,Symbol,Network,Full Name,Token Decimals
ETHEREUM_USDS,USDS,ETHEREUM,0xa4bdb11dc0a2bec88d24a3aa1e6bb17201112ebe,6
STELLAR_USDS,USDS,STELLAR,USDS-GBK4AYTOYIAYT4UJECSQGMACUWLKYOOM4VCAUUZ3Y3FG5XD2LYK3FGK2-1,7
BNBBEACONCHAIN_USDS,USDS,BNBBEACONCHAIN,USDSB-1AC,8
ICON_USDS,USDS,ICON,cxbb2871f468a3008f80b08fdde5b8b951583acf06,18
TEZOS_USDS,USDS,TEZOS,KT1REEb5VxWRjcHm5GzDMwErMmNFftsE5Gpf,6
CHIA_USDS,USDS,CHIA,6d95dae356e32a71db5ddcb42224754a02524c615c5fc35f568c2af04774e589,3
HARMONY_USDS,USDS,HARMONY,0x471f66f75af9238a2fa23ba23862b5957109fb21,6
XRPL_USD,USD,XRPL,rEn9eRkX25wfGPLysUMAvZ84jAzFNpT5fL,15
POLYMESH_USDS,USDS,POLYMESH,polymesh.api.subscan.io,6
ARBITRUM_USDS,USDS,ARBITRUM,0x097BF766E427F5CcD306F21Ba05632e0Be849B0E,6
ETHEREUM_DAI,DAI,ETHEREUM,0x6b175474e89094c44da98b954eedeac495271d0f,18
POLYGON_DAI,DAI,POLYGON,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,18
BNBSMARTCHAIN_DAI,DAI,BNBSMARTCHAIN,0x1af3f329e8be154074d8769d1ffa4ee058b1dbc3,18
GNOSIS_XDAI,xDAI,GNOSIS,0xe91d153e0b41518a2ce8dd3d7944fa863463a97d,18
ARBITRUM_DAI,DAI,ARBITRUM,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,18
OPTIMISM_DAI,DAI,OPTIMISM,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,18
MOONRIVER_DAI,DAI,MOONRIVER,0x80a16016cc4a2e6a2caca8a4a498b1699ff0f844,18
FUSE_DAI,DAI,FUSE,token-transfers,18
VELAS_DAI,DAI,VELAS,token-transfers,18
AURORA_DAI,DAI,AURORA,token-transfers,18
CRONOS_DAI,DAI,CRONOS,0xf2001b145b43032aaf5ee2884e456ccd805f677d,18
OKTC_DAI,DAI,OKTC,0xfd5b89af2356db519682ae9eebc3e5a0f9cdd2dc,18
FANTOM_DAI,DAI,FANTOM,0x8d11ec38a3eb5e956b052f67da8bdc9bef8abf3e,18
MOONBEAM_DAI,DAI,MOONBEAM,0x765277eebeca2e31912c9946eae1021199b39c61,18
ETHEREUM_USDT,USDT,ETHEREUM,0xdac17f958d2ee523a2206206994597c13d831ec7,6
BNBSMARTCHAIN_USDT,USDT,BNBSMARTCHAIN,0x55d398326f99059ff775485246999027b3197955,6
GNOSIS_USDT,USDT,GNOSIS,0x4ecaba5870353805a9f068101a40e0f32ed605c6,6
AVALANCHE_USDT,USDt,AVALANCHE,0x9702230a8ea53601f5cd2dc00fdbc13d4df4a8c7,6
ARBITRUM_USDT,USDT,ARBITRUM,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,6
OPTIMISM_USDT,USDT,OPTIMISM,0x94b008aa00579c1307b0ef2c499ad98a8ce58e58,6
POLYGON_USDT,USDT,POLYGON,0xc2132d05d31c914a87c6611c10748aeb04b58e8f,6
FANTOM_USDT,USDT,FANTOM,0x049d68029688eabf473097a2fc38ef61633a3c7a,6
MOONBEAM_USDT,USDT,MOONBEAM,0x8e70cd5b4ff3f62659049e74b6649c6603a0e594,6
MOONRIVER_USDT,USDT,MOONRIVER,0xb44a9b6905af7c801311e8f4e76932ee959c663c,6
FUSE_USDT,USDT,FUSE,token-transfers,6
